section,reference,display_title,depth,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
,2,Chapter 2 Definitions,0,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd|ca,occupancy_classification,architect,"User notes:About this chapter: Codes, by their very nature, are technical documents. Every word, term and punctuation mark can add to or change the meaning of a technical requirement. It is necessary to maintain a consensus on the specific meaning of each term contained in the code. Chapter 2 performs this function by stating clearly what specific terms mean for the purpose of the code."
Chapter 2 Definitions,201,Section 201 General,1,,,,none,none,
Section 201 General,201.1,[NY] 201.1 Scope,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this code, have the meanings shown in this chapter."
Section 201 General,201.2,[NY] 201.2 Interchangeability,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"Words used in the present tense include the future; words stated in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular."
Section 201 General,201.3,[NY] 201.3 Terms Defined in Other Codes,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),cd,occupancy_classification,architect,"Where terms are not defined in this code and are defined in the other International Codes, such terms shall have the meanings ascribed to them in those codes."
Section 201 General,201.4,[NY] 201.4 Terms Not Defined,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"Where terms are not defined through the methods authorized by this chapter, such terms shall have ordinarily accepted meanings such as the context implies."
Chapter 2 Definitions,202,Section 202 General Definitions,1,,,,none,none,
Section 202 General Definitions,addition_,[A] Addition,2,Wall|Slab|Column|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,building_height_area_limits,architect,"An extension or increase in floor area, number of stories, or height of a building or structure."
Section 202 General Definitions,alteration_,[A] Alteration,2,Wall|Slab|Door|Window|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect,Any construction or renovation to an existing structure other than a repair or addition.
Section 202 General Definitions,ambulatory_care_facility_,[BG] Ambulatory Care Facility,2,Wall|Door|Slab,Institutional (I),concept|sd|dd|cd,occupancy_classification,architect,"Buildings or portions thereof used to provide medical, surgical, psychiatric, nursing or similar care on a less than 24-hour basis to persons who are rendered incapable of self-preservation by the services provided or staff has accepted responsibility for care recipients already incapable."
Section 202 General Definitions,approved_,[A] Approved,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,special_construction,architect,Acceptable to the code official.
Section 202 General Definitions,approved_agency_,[A] Approved Agency,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,special_construction,architect,"An established and recognized organization that is regularly engaged in conducting tests, furnishing inspection services or furnishing product evaluation or certification where such organization has been approved by the code official."
Section 202 General Definitions,BUILDING_,[A] Building,2,Wall|Roof|Slab|Column|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),concept|sd|dd|cd,occupancy_classification,architect,Any structure utilized or intended for supporting or sheltering any occupancy.
Section 202 General Definitions,change_of_occupancy_,[A] Change of Occupancy,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect,"Any of the following shall be considered as a change of occupancy where the current International Building Code requires a greater degree of safety, accessibility, structural strength, fire protection, means of egress, ventilation or sanitation than is existing in the current building or structure: Any change in the occupancy classification of a building or structure. Any change in the purpose of, or a change in the level of activity within, a building or structure. A change of use."
Section 202 General Definitions,change_of_use_,[A] Change of Use,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,occupancy_classification,architect,"A change in the use of a building or a portion of a building, within the same group classification, for which there is a change in application of the code requirements."
Section 202 General Definitions,code_official_,[A] Code Official,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,occupancy_classification,owner,The officer or other designated authority charged with the administration and enforcement of this code.
Section 202 General Definitions,dangerous_,[BS] Dangerous,2,Wall|Column|Roof|Slab|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd|ca,structural_design,structural_engineer,"Any building, structure or portion thereof that meets any of the conditions described below shall be deemed dangerous: The building or structure has collapsed, has partially collapsed, has moved off its foundation or lacks the necessary support of the ground. There exists a significant risk of collapse, detachment or dislodgement of any portion, member, appurtenance or ornamentation of the building or structure under permanent, routine or frequent loads; under actual loads already in effect; or under snow, wind, rain, flood, earthquake aftershock or other environmental loads when such loads are imminent."
Section 202 General Definitions,deferred_submittal_,[A] Deferred Submittal,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,special_construction,architect,Those portions of the design that are not submitted at the time of the application and that are to be submitted to the code official within a specified period.
