id,section,reference,title,depth,body
,,42,Chapter 42 Swimming Pools,0,See the North Carolina Electrical Code.
42,Chapter 42 Swimming Pools,E4201,"Section <span class=""code_deletion"">E4201</span> <span class=""code_deletion"">General</span>",1,
42,Chapter 42 Swimming Pools,E4202,"Section <span class=""code_deletion"">E4202</span> <span class=""code_deletion"">Wiring Methods for Pools, Spas, Hot Tubs and Hydromassage Bathtubs</span>",1,
42,Chapter 42 Swimming Pools,E4203,"Section <span class=""code_deletion"">E4203</span> <span class=""code_deletion"">Equipment Location and Clearances</span>",1,
42,Chapter 42 Swimming Pools,E4204,"Section <span class=""code_deletion"">E4204</span> <span class=""code_deletion"">Equipotential Bonding</span>",1,
42,Chapter 42 Swimming Pools,E4205,"Section <span class=""code_deletion"">E4205</span> <span class=""code_deletion"">Bonding and Grounding</span>",1,
42,Chapter 42 Swimming Pools,E4206,"Section <span class=""code_deletion"">E4206</span> <span class=""code_deletion"">Equipment Installation</span>",1,
42,Chapter 42 Swimming Pools,E4207,"Section <span class=""code_deletion"">E4207</span> <span class=""code_deletion"">Storable Swimming Pools, Storable Spas and Storable Hot Tubs</span>",1,
42,Chapter 42 Swimming Pools,E4208,"Section <span class=""code_deletion"">E4208</span> <span class=""code_deletion"">Spas and Hot Tubs</span>",1,
42,Chapter 42 Swimming Pools,E4209,"Section <span class=""code_deletion"">E4209</span> <span class=""code_deletion"">Hydromassage Bathtubs</span>",1,
