section,reference,display_title,depth,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
,11,Chapter 11 [RE] Energy Efficiency,0,Slab|Roof|Wall|Window|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,assemblies_envelope,architect,"User notes:About this chapter: The purpose of Chapter 11 [RE] is to provide minimum design requirements that will promote efficient utilization of energy in buildings. The requirements are directed toward the design of building envelopes with adequate thermal resistance and low air leakage, and toward the design and selection of mechanical, water heating, electrical and illumination systems that promote effective use of depletable energy resources."
Chapter 11 [RE] Energy Efficiency,N1101,Section N1101 General,1,,,,none,none,
Chapter 11 [RE] Energy Efficiency,N1101.1,N1101.1 (R101.2) Scope,2,Wall|Roof|Slab,Residential (R),sd|dd|cd,assemblies_envelope,architect,"This chapter applies to the design and construction of residential buildings as regulated by this code. Note: The text of Sections N1101.2 through N1113 parallels the text of the 2024 edition of the International Energy Conservation Code—Residential Provisions (IECC-R). The section numbers appearing in parenthesis after each section number are the section numbers of the corresponding text in the IECC-R. If a section does not have a section number in parenthesis after it, then there is no corresponding text in the IECC-R."
Chapter 11 [RE] Energy Efficiency,N1101.2,N1101.2 (R101.3) Intent,2,Wall|Roof|Slab,Residential (R),concept|sd|dd|cd,assemblies_envelope,architect,"This chapter provides market-driven, enforceable requirements for the design and construction of residential buildings, providing minimum efficiency requirements for buildings that result in the maximum level of energy efficiency that is safe, technologically feasible, and life cycle cost-effective, considering economic feasibility, including potential costs and savings for consumers and building owners, and return on investment. Additionally, the code provides jurisdictions with optional supplemental requirements, including requirements that lead to achievement of zero energy buildings, presently, and, through glide paths that achieve zero energy buildings by 2030 and on additional timelines sought by governments, and achievement of additional policy goals as identified by the Energy and Carbon Advisory Council and approved by the Board of Directors. The code may include nonmandatory appendices incorporating additional energy efficiency and greenhouse gas reduction resources developed by the International Code Council and others. Requirements contained in the code will include, but not be limited to, prescriptive- and performance-based pathways. The code will aim to simplify code requirements to facilitate the code's use and compliance rate. The code is updated on a 3-year cycle with each subsequent edition providing increased energy savings over the prior edition. The IECC residential provisions shall include an update to Chapter 11 of this code. This code is intended to provide flexibility to permit the use of innovative approaches and techniques to achieve this intent. This code is not intended to abridge safety, health or environmental requirements contained in other applicable codes or ordinances."
Chapter 11 [RE] Energy Efficiency,N1101.3,N1101.3 (R101.4.1) Compliance Materials,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,assemblies_envelope,architect,"The code official shall be permitted to approve specific computer software, worksheets, compliance manuals and other similar materials that meet the intent of this chapter."
Chapter 11 [RE] Energy Efficiency,N1101.4,N1101.4 (R104.1.1) Above Code Programs,2,Slab|Wall|Roof|Window|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,assemblies_envelope,architect,"The code official or other authority having jurisdiction shall be permitted to deem a national, state or local energy-efficiency program to exceed the energy efficiency required by this code. Buildings approved in writing by such an energy-efficiency program shall be considered to be in compliance with this code. The requirements identified in Table N1105.2 and the total building thermal envelope thermal conductance (TC) shall be less than or equal to the total building thermal envelope TC using the prescriptive U-factors from Table N1102.1.2 multiplied by 1.08 in Climate Zones 0, 1 and 2, and by 1.15 in Climates Zones 3 through 8, in accordance with Equation 11-1. The area-weighted maximum fenestration solar heat gain coefficients (SHGC) permitted in Climate Zones 0 through 3 shall be 0.30. Equation 11-1"
Chapter 11 [RE] Energy Efficiency,N1101.5,N1101.5 (R105.2) Information on Construction Documents,2,Slab|Wall|Roof|Window|Door,Residential (R),sd|dd|cd,assemblies_envelope,architect,"Construction documents shall be drawn to scale on suitable material. Electronic media documents are permitted to be submitted when approved by the code official. Construction documents shall be of sufficient clarity to indicate the location, nature and extent of the work proposed, and show in sufficient detail pertinent data and features of the building, systems and equipment as herein governed. Details shall include the following as applicable:Energy compliance path.Insulation materials and their R-values.Fenestration U-factors and solar heat gain coefficients (SHGC).Area-weighted U-factor and solar heat gain coefficient (SHGC) calculations.Mechanical system design criteria.Mechanical and service water heating systems and equipment types, sizes and efficiencies.Equipment and system controls.Duct sealing, duct and pipe insulation and location.Air sealing details."
Chapter 11 [RE] Energy Efficiency,N1101.5.1,N1101.5.1 (R105.2.1) Building Thermal Envelope Depiction,3,Wall|Slab|Roof|Door|Window,Residential (R),sd|dd|cd,assemblies_envelope,architect,The building thermal envelope shall be represented on the construction documents.
Chapter 11 [RE] Energy Efficiency,N1101.5.2,N1101.5.2 (R105.2.2) Solar-Ready System,3,Roof|Slab|BuildingElementProxy,Residential (R),sd|dd|cd,assemblies_envelope,architect,"Where a solar-ready zone is provided, the construction documents shall indicate details for a dedicated roof area for the solar-ready zone, roof dead load, roof live load, ground snow load and the routing of conduit or prewiring from the solar-ready zone to an electrical service panel or plumbing from the solar-ready zone to a service water heating system."
Chapter 11 [RE] Energy Efficiency,N1101.6,N1101.6 (R202) Defined Terms,2,Wall|Slab|Roof|Window|CurtainWall,Residential (R),sd|dd|cd,assemblies_envelope,architect,"The following words and terms shall, for the purposes of this chapter, have the meanings shown herein. ABOVE-GRADE WALL.A wall more than 50 percent above grade and enclosing conditioned space. This includes between-floor spandrels, peripheral edges of floors, roof and basement knee walls, dormer walls, gable end walls, walls enclosing a mansard roof and skylight shafts. ACCESS (TO).That which enables a device, appliance or equipment to be reached by ready access or by a means that first requires the removal or movement of a panel or similar obstruction. ADDITION.An extension or increase in the floor area, number of stories or height of a building or structure. AIR BARRIER.One or more materials joined together in a continuous manner to restrict or prevent the passage of air through the building thermal envelope and its assemblies. AIR-HANDLING UNIT. A blower or fan used for the purpose of distributing supply air to a room, space or area. ALTERATION.Any construction, retrofit or renovation to an existing structure other than repair or addition. Also, a change in a building, electrical, gas, mechanical or plumbing system that involves an extension, addition or change to the arrangement, type or purpose of the original installation. APPROVED SOURCE. An independent person, firm or corporation approved by the code official, who is competent and experienced in the application of engineering principles to materials, methods or system analyses. AUTOMATIC.Self-acting, operating by its own mechanism when actuated by some impersonal influence, as, for example, a change in current strength, pressure, temperature or mechanical configuration (see ""Manual""). AUTOMATIC SHUTOFF CONTROL. A device capable of automatically turning loads off without manual intervention. Automatic shutoff controls include devices such as, but not limited to, occupancy sensors, vacancy sensors, door switches, programmable time switches (i.e., time clocks) or count-down timers. BALANCED VENTILATION SYSTEM. A ventilation system that simultaneously supplies outdoor air to and exhausts air from a space, where the mechanical supply airflow rate and the mechanical exhaust airflow rate are each within 10 percent of the average of the two airflow rates BASEMENT WALL.A wall 50 percent or more below grade and enclosing conditioned space. BIODIESEL BLEND. A homogeneous mixture of hydrocarbon oils and mono alkyl esters of long-chain fatty acids. BUILDING.Any structure used or intended for supporting or sheltering any use or occupancy, including any mechanical systems, service water-heating systems and electric power and lighting systems located on the building site and supporting the building. BUILDING SITE.A contiguous area of land that is under the ownership or control of one entity. BUILDING THERMAL ENVELOPE.The basement walls, exterior walls, floors, ceilings, roofs and any other building element assemblies that enclose conditioned space or provide a boundary between conditioned space and exempt or unconditioned space. CAVITY INSULATION.Insulating material located between framing members. CIRCULATING HOT WATER SYSTEM.A specifically designed water distribution system where one or more pumps are operated in the service hot water piping to circulate heated water from the water-heating equipment to fixtures and back to the water-heating equipment. CLIMATE ZONE.A geographical region based on climatic criteria as specified in this code. COMMON AREAS. All conditioned spaces within Group R occupancy buildings that are not dwelling units or sleeping units . CONDITIONED FLOOR AREA.The horizontal projection of the floors associated with the conditioned space. CONDITIONED SPACE.An area, room or space that is enclosed within the building thermal envelope and that is directly heated or cooled or indirectly heated or cooled. Spaces are indirectly heated or cooled where they communicate through openings with conditioned spaces, where they are separated from conditioned spaces by uninsulated walls, floors or ceilings, or where they contain uninsulated ducts, piping or other sources of heating or cooling. CONSTRUCTION DOCUMENTS. Written, graphic and pictorial documents prepared or assembled for describing the design, location and physical characteristics of the elements of a project necessary for obtaining a building permit. CONTINUOUS AIR BARRIER.A combination of materials and assemblies that restrict or prevent the passage of air through the building thermal envelope. CONTINUOUS INSULATION (ci).Insulating material that is continuous across all structural members without thermal bridges other than fasteners and service openings. It is installed on the interior or exterior, or is integral to any opaque surface, of the building thermal envelope. CONTINUOUS PILOT. A pilot which, once placed in operation, is intended to remain ignited continuously until it is manually interrupted. CRAWL SPACE WALL.The opaque portion of a wall that encloses a crawl space and is partially or totally below grade. CURTAIN WALL.Fenestration products used to create an external nonload-bearing wall that is designed to separate the exterior and interior environments. DAMPER. A manually or automatically controlled device to regulate draft or the rate of flow of air or combustion gases. DEMAND RECIRCULATION WATER SYSTEM.A water distribution system where one or more pumps prime the service hot water piping with heated water on demand for hot water. DEMAND RESPONSE SIGNAL. A signal that indicates a price or a request to modify electricity consumption for a limited time period. DEMAND RESPONSIVE CONTROL. A control capable of receiving and automatically responding to a demand response signal. DIMMER.A control device that is capable of continuously varying the light output and energy use of light sources. DISTRIBUTION SYSTEM EFFICIENCY (DSE). A system efficiency factor that adjusts for the energy losses associated with delivery of energy from the equipment to the source of the load. DUCT.A tube or conduit utilized for conveying air. The air passages of self-contained systems are not to be construed as air ducts. DUCT AIRFLOW BALANCING. The measurement and adjustment of the delivered airflow to the intended locations. DUCT SYSTEM.A system that consists of space conditioning equipment and ductwork, and includes any apparatus installed in connection therewith. DUCTWORK. The assemblies of connected ducts, plenums, boots, fittings, dampers, supply registers, return grilles and filter grilles through which air is supplied to or returned from the space to be heated, cooled or ventilated. Supply ductwork delivers air to the spaces from the space conditioning equipment. Return ductwork conveys air from the spaces back to the space conditioning equipment. Ventilation ductwork conveys air to or from any space. DWELLING UNIT.A single unit providing complete independent living facilities for one or more persons, including permanent provisions for living, sleeping, eating, cooking and sanitation. EMITTANCE. The ratio of the radiant heat flux emitted by a specimen measured on a scale from 0 to 1, where a value of 1 indicates perfect release of thermal radiation. ENCLOSED REFLECTIVE AIRSPACE. An unventilated cavity with a low-emittance surface bounded on all sides by building components. ENERGY ANALYSIS.A method for estimating the annual energy use of the proposed design and standard reference design based on estimates of energy use. ENERGY COST.The total estimated annual cost for purchased energy for the building functions regulated by this code, including applicable demand charges. ENERGY RATING INDEX (ERI). A numerical integer value that represents the relative energy performance of a rated design or constructed dwelling unit as compared with the energy performance of the ERI Reference Design, where an ERI value of 100 represents the energy performance of the ERI Reference Design and an ERI value of 0 represents a rated design or constructed dwelling unit with zero net energy performance. ENERGY SIMULATION TOOL.An approved software program or calculation-based methodology that projects the annual energy use of a building. ERI REFERENCE DESIGN.A version of the rated design that meets the minimum requirements of the 2006 International Energy Conservation Code. EXISTING BUILDING. A building erected prior to the date of adoption of the appropriate code, or one for which a legal building permit has been issued. EXTERIOR WALL.Walls including both above-grade walls and basement walls. FENESTRATION.Products classified as either vertical fenestration or skylights. Skylights.Glass or other transparent or translucent glazing material installed at a slope of less than 60 degrees (1.05 rad) from horizontal, including unit skylights, tubular daylighting devices, and glazing materials in solariums, sunrooms, roofs and sloped walls. Vertical fenestration.Windows that are fixed or operable, opaque doors, glazed doors, glazed block and combination opaque/glazed doors composed of glass or other transparent or translucent glazing materials and installed at a slope of not less than 60 degrees (1.05 rad) from horizontal. FENESTRATION PRODUCT, SITE-BUILT.A fenestration designed to be made up of field-glazed or field-assembled units using specific factory cut or otherwise factory-formed framing and glazing units. Examples of site-built fenestration include storefront systems, curtain walls, and atrium roof systems. F-FACTOR (THERMAL TRANSMITTANCE). The perimeter heat loss factor for slab-on-grade floors (Btu/h× ft × °F) [W/(m × K)]. FUEL GAS. A natural gas, manufactured gas, liquified petroleum gas or a mixture of these. FUEL OIL. Kerosene or any hydrocarbon oil having a flash point not less than 100°F (38°C). GRADE PLANE. A reference plane representing the average of the finished ground level adjoining the building at all exterior walls. Where the finished ground level slopes away from the exterior wall, the reference plane is established by the lowest points within the area between the building and the lot line or, where the lot line is more than 6 feet (1829 mm) from the building between the structure and a point 6 feet (1829 mm) from the building. HEAT EXCHANGER. A device that transfers heat from one medium to another. HEATED SLAB.Slab-on-grade construction in which the heating elements, hydronic tubing, or hot air distribution system is in contact with, or placed within or under, the slab. HISTORIC BUILDING.Any building or structure that is one or more of the following: Listed, or certified as eligible for listing by the State Historic Preservation Officer or the Keeper of the National Register of Historic Places, in the National Register of Historic Places. Designated as historic under an applicable state or local law. Certified as a contributing resource within a National Register-listed, state-designated or locally designated historic district. INFILTRATION.The uncontrolled inward air leakage into a building caused by the pressure effects of wind or the effect of differences in the indoor and outdoor air density or both. INSULATED SIDING.A type of continuous insulation with manufacturer-installed insulating material as an integral part of the cladding product having an R-value of not less than R-2. INSULATING SHEATHING.An insulating board with a core material having an R-value of not less than R-2. INTERMITTENT IGNITION. Type of ignition that is energized when an appliance is called on to operate and that remains continuously energized during each period of main burner operation and where the ignition is deenergized when the main burner operating cycle is completed. INTERRUPTED IGNITION. Type of ignition that is energized prior to the admission of fuel to the main burner and that is deenergized when the main flame is established. KNEE WALL. An above-grade wall assembly, or wall defined by vertical truss members, of any height that separates conditioned space from unconditioned buffer spaces, such as ventilated attics and entry porch roofs, rather than ambient outdoors. LABELED.Equipment, materials or products to which have been affixed a label, seal, symbol or other identifying mark of a nationally recognized testing laboratory, approved agency or other organization concerned with product evaluation that maintains periodic inspection of the production of such labeled items and whose labeling indicates either that the equipment, material or product meets identified standards or has been tested and found suitable for a specified purpose. LIQUID FUEL. A fuel oil or biodiesel blend . LISTED.Equipment, materials, products or services included in a list published by an organization acceptable to the code official and concerned with evaluation of products or services that maintains periodic inspection of production of listed equipment or materials or periodic evaluation of services and where the listing states either that the equipment, material, product or service meets identified standards or has been tested and found suitable for a specified purpose. LIVING SPACE. Space within a dwelling unit utilized for living, sleeping, eating, cooking, bathing, washing and sanitation purposes. LOW SLOPE. A roof slope less than 2 units vertical in 12 units horizontal (17 percent slope). MANUAL.Capable of being operated by personal intervention (see ""Automatic""). OCCUPANT SENSOR CONTROL.An automatic control device that detects the presence or absence of people within an area and causes lighting, equipment or appliances to be regulated accordingly. OCCUPIABLE SPACE. An enclosed space intended for human activities, excluding those spaces intended primarily for other purposes, such as storage rooms and equipment rooms, that are only intended to be occupied occasionally and for short periods of time. ON-DEMAND PILOT. A pilot that, once placed into operation, is intended to remain ignited for a predetermined period of time following an automatic or manual operation of the main burner gas valve, after which the pilot is automatically extinguished when no automatic or manual operation of the main burner gas valve occurs during the predetermined period of time. ON-SITE RENEWABLE ENERGY.Energy from renewable energy resources harvested at the building site. OPAQUE DOOR.A door that is not less than 50 percent opaque in surface area. PLENUM. An enclosed portion of the building structure, other than an occupiable space being conditioned, that is designed to allow air movement and thereby serve as part of the supply or return ductwork. PROPOSED DESIGN.A description of the proposed dwelling unit used to estimate annual energy use for determining compliance based on simulated building performance. RADIANT BARRIER. A material having a low emittance surface of 0.1 or less installed in building assemblies. RATED DESIGN.A description of the proposed dwelling unit used to determine the energy rating index. READY ACCESS (TO).That which enables a device, appliance or equipment to be directly reached without requiring the removal or movement of any panel or similar obstruction. REFLECTIVE INSULATION. A material with a surface emittance of 0.1 or less in an assembly consisting of one or more enclosed reflective airspaces. RENEWABLE ENERGY CERTIFICATE (REC).A market-based instrument that represents and conveys the environmental attributes of 1 megawatt hour of renewable electricity generation and could be sold separately from the underlying physical electricity associated with renewable energy resources ; also known as an energy attribute certificate (EAC). RENEWABLE ENERGY RESOURCES.Energy derived from solar radiation, wind, waves, tides, landfill gas, biogas, biomass or extracted from hot fluid or steam heated within the earth. REPAIR.The reconstruction or renewal of any part of an existing building for the purpose of its maintenance or to correct damage. REROOFING.The process of recovering or replacing an existing roof covering. See "" Roof recover"" and ""Roof replacement."" RESIDENTIAL BUILDING.For this chapter, includes detached one- and two-family dwellings and townhouses as well as Group R-2, R-3 and R-4 buildings three stories or less in height above grade plane. ROOF ASSEMBLY.A system designed to provide weather protection and resistance to design loads. The system consists of a roof covering and roof deck or a single component serving as both the roof covering and the roof deck. A roof assembly includes the roof covering, underlayment, and roof deck, and can also include a thermal barrier, ignition barrier, insulation or a vapor retarder. ROOF RECOVER.The process of installing an additional roof covering over an existing roof covering without removing the existing roof covering. ROOF REPAIR.Reconstruction or renewal of any part of an existing roof for the purposes of its maintenance. ROOF REPLACEMENT.An alteration that includes the removal of all existing layers of roof assembly materials down to the roof deck and the installation of replacement materials above the existing roof deck. R-VALUE (THERMAL RESISTANCE). The inverse of the time rate of heat flow through a body from one of its bounding surfaces to the other surface for a unit temperature difference between the two surfaces, under steady state conditions, per unit area (h × ft2× °F/Btu) [(m2× K)/W]. SERVICE WATER HEATING.Supply of hot water for purposes other than comfort heating. SIMULATED BUILDING PERFORMANCE. A process in which the proposed building design is compared to a standard reference design for the purposes of estimating relative energy use to determine code compliance. SLEEPING UNIT. A single unit that provides rooms or spaces for one or more persons, includes permanent provisions for sleeping and can include provisions for living, eating and either sanitation or kitchen facilities but not both. Such rooms and spaces that are part of a dwelling unit are not sleeping units. SOLAR HEAT GAIN COEFFICIENT (SHGC).The ratio of the solar heat gain entering the space through the fenestration assembly to the incident solar radiation. Solar heat gain includes directly transmitted solar heat and absorbed solar radiation that is then reradiated, conducted or convected into the space. SOLAR-READY ZONE. A section or sections of the roof or building overhang designated and reserved for the future installation of a solar photovoltaic or solar thermal system. SPACE CONDITIONING. The treatment of air so as to control the temperature, humidity, filtration and distribution of the air to meet the requirements of a conditioned space. SPACE CONDITIONING EQUIPMENT. The heat exchangers, air-handling units, filter boxes and any apparatus installed in connection therewith used to provide space conditioning . STANDARD REFERENCE DESIGN.A version of the proposed design that meets the minimum requirements of this code and is used to determine the maximum annual energy use requirement for compliance based on total building performance. STEEP SLOPE. A roof slope 2 units vertical in 12 units horizontal (17 percent slope) or greater. SUBSTANTIAL IMPROVEMENT. Any repair, reconstruction, rehabilitation, alteration, addition or other improvement of a building or structure, the cost of which equals or is more than 50 percent of the market value of the structure before the improvement. Where the structure has sustained substantial damage as defined in the International Building Code, any repairs are considered substantial improvement regardless of the actual repair work performed. Substantial improvement does not include the following: Improvement of a building ordered by the code official to correct health, sanitary or safety code violations. Alteration of a historic building where the alteration will not affect the designation as a historic building. SUNROOM.A one-story structure attached to a dwelling with a glazing area in excess of 40 percent of the gross area of the structure's exterior walls and roof. TESTING UNIT ENCLOSURE AREA. The sum of the area of ceiling, floors and walls separating a dwelling unit or sleeping unit's conditioned space from the exterior or from adjacent conditioned or unconditioned spaces. Wall height shall be measured from the finished floor of the dwelling unit or sleeping unit to the underside of the floor above. THERMAL DISTRIBUTION EFFICIENCY (TDE).The resistance to changes in air heat as air is conveyed through a distance of air duct. TDE is a heat-loss calculation evaluating the difference in the heat of the air between the air duct inlet and outlet caused by differences in temperatures between the air in the duct and the duct material. TDE is expressed as a percent difference between the inlet and outlet heat in the duct . THERMAL ISOLATION.Physical and space conditioning separation from conditioned spaces. The conditioned spaces shall be controlled as separate zones for heating and cooling or conditioned by separate equipment. THERMOSTAT.An automatic control device used to maintain temperature at a fixed or adjustable set point. U-FACTOR (THERMAL TRANSMITTANCE). The coefficient of heat transmission (air to air) through a building component or assembly, equal to the time rate of heat flow per unit area and unit temperature difference between the warm side and cold side air films (Btu/h × ft2× °F) [W/(m2× K)]. VENTILATION.The natural or mechanical process of supplying conditioned or unconditioned air to, or removing such air from, any space. VENTILATION AIR.That portion of supply air that comes from outside (outdoors) plus any recirculated air that has been treated to maintain the desired quality of air within a designated space. VISIBLE TRANSMITTANCE [VT].The ratio of visible light entering the space through the fenestration product assembly to the incident visible light. Visible Transmittance includes the effects of glazing material and frame and is expressed as a number between 0 and 1. WHOLE-HOUSE MECHANICAL VENTILATION SYSTEM. An exhaust system, supply system, or combination thereof that is designed to mechanically exchange indoor air with outdoor air when operating continuously or through a programmed intermittent schedule to satisfy the whole house ventilation rates. WORK AREA. That portion or portions of a building consisting of all reconfigured spaces as indicated on the construction documents. Work area excludes other portions of the building where incidental work entailed by the intended work must be performed and portions of the building where work not initially intended by the owner is specifically required by this code. ZONE.A space or group of spaces within a building with heating or cooling requirements that are sufficiently similar so that desired conditions can be maintained throughout using a single controlling device."
