section,reference,display_title,depth,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
,14,Chapter 14 Heating and Cooling Equipment and Appliances,0,BuildingElementProxy,Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,"User notes:About this chapter: Chapter 14 addresses the indoor environmental control systems and appliances typically found in dwelling units. Coverage includes general requirements for equipment and appliance sizing, condensate disposal, access and support, and specific coverage for more than a dozen different types of space conditioning equipment and appliances common to dwelling units.Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2024 (Group A) Code Development Cycle."
Chapter 14 Heating and Cooling Equipment and Appliances,M1401,Section M1401 General,1,,,,none,none,
Chapter 14 Heating and Cooling Equipment and Appliances,M1401.1,M1401.1 Installation,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),dd|cd,mechanical_systems,mechanical_engineer,Heating and cooling equipment and appliances shall be installed in accordance with the manufacturer's instructions and the requirements of this code.
Chapter 14 Heating and Cooling Equipment and Appliances,M1401.2,M1401.2 Access,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,"Heating and cooling equipment and appliances shall be located with respect to building construction and other equipment and appliances to permit maintenance, servicing and replacement. Clearances shall be maintained to permit cleaning of heating and cooling surfaces; replacement of filters, blowers, motors, controls and vent connections; lubrication of moving parts; and adjustments.Exception: Access shall not be required for ducts, piping, or other components approved for concealment."
Chapter 14 Heating and Cooling Equipment and Appliances,M1401.3,M1401.3 Equipment and Appliance Sizing,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,mechanical_systems,mechanical_engineer,Heating and cooling equipment and appliances shall be sized in accordance with ACCA Manual S or other approved sizing methodologies based on building loads calculated in accordance with ACCA Manual J or other approved heating and cooling calculation methodologies. Exception: Heating and cooling equipment and appliance sizing shall not be limited to the capacities determined in accordance with ACCA Manual S where either of the following conditions applies: The specified equipment or appliance utilizes multistage technology or variable refrigerant flow technology and the loads calculated in accordance with the approved heating and cooling calculation methodology are within the range of the manufacturer's published capacities for that equipment or appliance. The specified equipment or appliance manufacturer's published capacities cannot satisfy both the total and sensible heat gains calculated in accordance with the approved heating and cooling calculation methodology and the next larger standard size unit is specified.
Chapter 14 Heating and Cooling Equipment and Appliances,M1401.4,M1401.4 Outdoor Installations,2,BuildingElementProxy|Slab|Footing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,"Equipment and appliances installed outdoors shall be listed and labeled for outdoor installation. Supports and foundations shall prevent excessive vibration, settlement or movement of the equipment. Supports and foundations shall be in accordance with Section M1305.1.3.1."
Chapter 14 Heating and Cooling Equipment and Appliances,M1401.5,M1401.5 Flood Hazard,2,BuildingElementProxy,Residential (R)|Business (B)|Assembly (A),sd|dd|cd,mechanical_systems,mechanical_engineer,"In flood hazard areas as established by Table R301.2, heating and cooling equipment and appliances shall be located or installed in accordance with Section R306.1.6."
Chapter 14 Heating and Cooling Equipment and Appliances,M1402,Section M1402 Central Furnaces,1,,,,none,none,
Chapter 14 Heating and Cooling Equipment and Appliances,M1402.1,M1402.1 General,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,Oil-fired central furnaces shall be listed and labeled in accordance with UL 727. Electric furnaces shall be listed and labeled in accordance with UL 1995 or UL/CSA 60335-2-40.
Chapter 14 Heating and Cooling Equipment and Appliances,M1402.2,M1402.2 Clearances,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,Clearances shall be provided in accordance with the listing and the manufacturer's installation instructions.
Chapter 14 Heating and Cooling Equipment and Appliances,M1402.3,M1402.3 Combustion Air,2,Wall|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,Combustion air shall be supplied in accordance with Chapter 17. Combustion air openings shall be unobstructed for a distance of not less than 6 inches (152 mm) in front of the openings.
Chapter 14 Heating and Cooling Equipment and Appliances,M1403,Section M1403 Heat Pump Equipment,1,,,,none,none,
Chapter 14 Heating and Cooling Equipment and Appliances,M1403.1,M1403.1 Heat Pumps,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,mechanical_systems,mechanical_engineer,Electric heat pumps shall be listed and labeled in accordance with UL 1995 or UL/CSA 60335-2-40.
Chapter 14 Heating and Cooling Equipment and Appliances,M1404,Section M1404 Refrigeration Cooling Equipment,1,,,,none,none,
Chapter 14 Heating and Cooling Equipment and Appliances,M1404.1,M1404.1 Compliance,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),dd|cd,mechanical_systems,mechanical_engineer,"Refrigeration cooling equipment shall be listed and labeled in accordance with UL 484, UL 1995 or UL/CSA 60335-2-40 ."
Chapter 14 Heating and Cooling Equipment and Appliances,M1405,Section M1405 Baseboard Convectors,1,,,,none,none,
Chapter 14 Heating and Cooling Equipment and Appliances,M1405.1,M1405.1 General,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),cd|ca,mechanical_systems,mechanical_engineer,Electric baseboard convectors shall be installed in accordance with the manufacturer's instructions and Chapters 34 through 43. Electric baseboard heaters shall be listed and labeled in accordance with UL 1042.
Chapter 14 Heating and Cooling Equipment and Appliances,M1406,Section M1406 Radiant Heating Systems,1,,,,none,none,
Chapter 14 Heating and Cooling Equipment and Appliances,M1406.1,M1406.1 General,2,Slab|Covering|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),dd|cd,mechanical_systems,mechanical_engineer,Electric radiant heating systems shall be installed in accordance with the manufacturer's instructions and Chapters 34 through 43 and shall be listed for the application.
Chapter 14 Heating and Cooling Equipment and Appliances,M1406.2,M1406.2 Clearances,2,Covering|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,"Clearances for radiant heating panels or elements to any wiring, outlet boxes and junction boxes used for installing electrical devices or mounting luminaires shall comply with Chapters 34 through 43."
Chapter 14 Heating and Cooling Equipment and Appliances,M1406.3,M1406.3 Installation of Radiant Panels,2,Slab|Wall|Plate,Residential (R)|Business (B)|Assembly (A),dd|cd,mechanical_systems,mechanical_engineer,"Radiant panels installed on wood framing shall conform to the following requirements:Heating panels shall be installed parallel to framing members and secured to the surface of framing members or mounted between framing members.Mechanical fasteners shall penetrate only the unheated portions provided for this purpose. Panels shall not be fastened at any point closer than 1/4 inch (6.4 mm) to an element. Other methods of attachment of the panels shall be in accordance with the panel manufacturer's instructions.Unless listed and labeled for field cutting, heating panels shall be installed as complete units."
Chapter 14 Heating and Cooling Equipment and Appliances,M1406.4,M1406.4 Installation in Concrete or Masonry,2,Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,"Radiant heating systems installed in concrete or masonry shall conform to the following requirements:Radiant heating systems shall be identified as being suitable for the installation, and shall be secured in place as specified in the manufacturer's installation instructions.Radiant heating panels or radiant heating panel sets shall not be installed where they bridge expansion joints unless protected from expansion and contraction."
Chapter 14 Heating and Cooling Equipment and Appliances,M1406.5,M1406.5 Finish Surfaces,2,Slab|Covering|Plate,Residential (R)|Assembly (A)|Business (B),dd|cd,finishes_materials,architect,Finish materials installed over radiant heating panels or systems shall be installed in accordance with the manufacturer's instructions. Surfaces shall be secured so that nails or other fastenings do not pierce the radiant heating elements.
Chapter 14 Heating and Cooling Equipment and Appliances,M1407,Section M1407 Duct Heaters,1,,,,none,none,
Chapter 14 Heating and Cooling Equipment and Appliances,M1407.1,M1407.1 General,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),dd|cd,mechanical_systems,mechanical_engineer,Electric duct heaters shall be installed in accordance with the manufacturer's instructions and Chapters 34 through 43. Electric duct heaters shall comply with UL 1996.
Chapter 14 Heating and Cooling Equipment and Appliances,M1407.2,M1407.2 Installation,2,Covering|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),dd|cd,mechanical_systems,mechanical_engineer,"Electric duct heaters shall be installed so that they will not create a fire hazard. Class 1 ducts, duct coverings and linings shall be interrupted at each heater to provide the clearances specified in the manufacturer's installation instructions. Such interruptions are not required for duct heaters listed and labeled for zero clearance to combustible materials. Insulation installed in the immediate area of each heater shall be classified for the maximum temperature produced on the duct surface."
Chapter 14 Heating and Cooling Equipment and Appliances,M1407.3,M1407.3 Installation With Heat Pumps and Air Conditioners,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,Duct heaters located within 4 feet (1219 mm) of a heat pump or air conditioner shall be listed and labeled for such installations. The heat pump or air conditioner shall additionally be listed and labeled for such duct heater installations.
Chapter 14 Heating and Cooling Equipment and Appliances,M1407.4,M1407.4 Access,2,BuildingElementProxy,Business (B)|Educational (E)|Residential (R)|Assembly (A)|Mercantile (M),dd|cd,mechanical_systems,mechanical_engineer,"Duct heaters shall be located to allow access for servicing, and clearance shall be maintained to permit adjustment, servicing and replacement of controls and heating elements."
Chapter 14 Heating and Cooling Equipment and Appliances,M1407.5,M1407.5 Fan Interlock,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),dd|cd,mechanical_systems,mechanical_engineer,The fan circuit shall be provided with an interlock to prevent heater operation when the fan is not operating.
Chapter 14 Heating and Cooling Equipment and Appliances,M1408,Section M1408 Vented Floor Furnaces,1,,,,none,none,
Chapter 14 Heating and Cooling Equipment and Appliances,M1408.1,M1408.1 General,2,BuildingElementProxy,Residential (R)|Business (B)|Assembly (A),sd|dd|cd,mechanical_systems,mechanical_engineer,"Oil-fired vented floor furnaces shall comply with UL 729 and shall be installed in accordance with their listing, the manufacturer's instructions and the requirements of this code."
